level,position,tech_stack,experience,gender,company,company_size,work_type,city,currency,salary,raise_period
0,2,449,1,0,41,2,0,70,3,25,2
0,22,837,0,0,23,4,0,70,3,20,1
1,2,449,6,1,2,4,2,70,3,35,2
0,2,1247,1,0,34,2,2,70,3,19,1
1,21,911,6,0,6,2,0,70,3,38,1
1,22,280,1,0,24,0,0,71,3,16,2
2,2,3,7,0,23,2,0,70,3,41,2
2,2,230,3,1,34,2,2,71,1,55,1
1,22,840,5,0,41,6,0,4,1,22,2
2,53,133,2,0,6,4,0,70,3,67,2
0,40,1247,0,0,34,0,0,40,3,1,2
2,39,1119,3,0,23,2,2,70,3,45,2
0,22,837,1,0,34,3,2,70,3,25,2
2,22,138,2,0,28,5,2,64,0,87,1
0,21,886,1,1,34,2,2,75,3,21,2
1,2,449,5,0,27,2,2,70,0,33,1
0,20,1400,0,0,11,4,0,70,3,16,1
2,2,449,6,0,23,4,0,70,3,58,1
0,22,814,1,1,23,6,2,70,3,27,2
2,21,886,6,1,6,4,2,70,3,56,1
2,2,673,6,0,23,4,0,17,1,55,1
1,2,1054,5,0,6,2,2,70,3,36,2
1,24,1403,5,0,28,5,2,70,3,23,2
0,21,1410,1,0,2,4,0,40,3,27,1
1,2,980,5,0,6,4,2,70,3,49,2
1,2,1247,5,0,41,3,2,70,3,45,2
2,47,633,4,0,2,4,0,70,3,57,1
2,48,1335,3,0,23,4,4,70,3,45,2
2,21,1125,6,0,41,0,2,55,3,24,1
2,22,290,4,0,6,1,2,58,3,38,1
1,2,3,1,0,23,2,2,70,3,51,2
0,31,934,0,0,23,4,2,70,3,25,2
1,2,449,5,0,23,2,0,70,3,27,4
2,14,1247,7,0,2,4,2,70,3,50,2
1,22,45,5,0,23,4,0,70,3,31,1
0,21,57,1,0,23,3,1,58,3,7,2
1,12,1321,1,0,6,4,0,70,3,34,2
0,22,519,1,0,6,4,2,77,3,41,2
1,2,449,6,0,23,4,0,70,3,37,2
1,22,339,5,0,23,4,0,70,3,24,1
2,22,206,6,0,23,4,0,70,3,41,1
0,34,1385,1,0,2,4,2,70,3,23,1
1,2,449,1,0,23,4,2,40,3,27,2
0,21,886,1,0,6,4,2,86,3,21,2
1,2,1371,1,0,23,2,2,70,3,26,1
2,2,409,6,0,34,1,2,1,0,22,1
2,2,823,7,0,23,4,0,1,1,44,1
0,21,1069,1,0,34,3,2,75,3,21,2
2,22,7,3,0,41,0,0,70,3,50,1
0,46,349,1,0,6,4,2,94,3,20,3
2,22,429,4,0,6,4,0,70,3,16,1
2,31,681,7,0,41,4,2,77,3,67,2
1,21,87,1,0,34,3,0,70,3,28,2
0,22,1067,1,0,23,6,2,70,3,23,2
1,21,239,6,0,34,3,0,70,3,40,2
1,21,911,5,0,6,2,2,44,3,34,1
2,53,301,7,0,23,4,0,70,3,45,2
1,22,488,5,0,41,5,2,71,3,28,1
2,2,476,5,0,6,4,2,70,3,74,2
2,53,677,2,0,23,4,0,41,3,65,3
2,53,3,3,0,34,2,2,70,0,22,1
0,21,1119,1,0,27,0,0,70,3,19,1
2,2,3,2,0,41,6,2,70,3,39,1
1,2,3,5,0,41,6,2,70,3,29,2
2,18,1247,3,0,34,1,2,70,3,46,2
1,22,60,5,0,23,4,1,40,3,31,2
1,21,896,5,0,23,4,2,40,3,39,1
2,34,1392,7,0,34,4,2,70,3,64,2
0,22,57,1,0,23,0,2,104,3,61,2
2,53,696,7,0,41,2,2,70,3,50,2
1,40,661,1,0,6,2,2,70,3,40,3
1,2,449,5,0,27,4,2,40,3,41,2
2,22,39,4,0,23,2,2,70,3,26,1
2,2,113,7,0,23,4,0,70,3,37,2
0,17,945,0,0,34,0,2,70,3,16,1
2,2,240,2,0,41,5,2,41,0,55,2
2,2,3,6,0,41,4,0,70,3,51,2
1,22,1012,5,0,34,0,2,101,3,46,2
1,22,153,5,0,34,5,2,70,3,24,1
1,22,671,5,0,41,3,2,70,3,29,2
1,2,174,1,0,27,0,2,70,3,25,2
1,24,335,1,0,28,5,2,70,3,21,3
2,2,1002,2,0,6,4,2,70,3,40,2
1,2,449,5,0,23,4,2,40,3,41,2
1,2,3,1,0,6,6,0,70,3,16,2
0,2,449,1,0,23,4,0,40,3,19,2
2,21,886,6,0,34,6,0,84,3,39,2
2,14,1247,5,0,4,4,4,70,3,51,2
1,22,161,5,0,34,4,0,1,1,44,2
2,2,3,2,0,41,6,2,70,3,50,2
1,2,3,1,0,13,2,2,70,3,34,1
1,2,21,5,0,41,0,1,70,3,27,1
1,41,449,5,0,6,4,0,70,3,29,2
2,2,349,7,0,23,4,2,99,3,23,1
1,33,893,1,0,41,2,2,100,3,30,2
1,21,874,5,0,6,4,2,97,3,20,3
0,34,1385,1,0,27,2,2,41,3,20,2
1,22,3,5,0,41,4,2,7,1,22,1
0,40,449,1,0,6,4,2,70,3,21,2
2,2,3,6,0,23,2,2,70,3,45,1
1,2,449,1,0,41,6,2,64,3,39,2
2,2,1142,3,0,34,6,2,70,3,45,2
1,2,3,1,0,4,3,2,70,3,19,3
0,22,837,1,1,41,3,0,58,3,4,1
2,53,449,2,0,23,2,2,70,3,80,1
2,34,1393,4,0,23,2,2,70,3,67,2
0,2,71,0,0,6,3,1,70,3,16,2
1,22,480,1,0,6,4,2,70,3,51,2
1,19,1252,1,0,23,4,0,70,3,32,1
2,34,1385,5,0,27,3,2,70,3,39,1
0,2,449,1,0,41,2,2,70,3,21,1
1,17,1152,0,0,34,3,1,56,3,16,3
1,2,3,7,0,6,5,1,70,3,26,1
1,14,1247,5,0,2,4,2,70,3,42,1
1,2,647,2,0,6,4,2,70,3,61,2
1,2,647,2,0,6,4,2,70,3,61,2
2,34,1392,7,0,27,4,2,87,3,82,2
1,2,87,5,0,34,2,2,70,3,25,1
1,2,449,1,0,23,4,0,70,3,38,1
2,22,3,7,0,23,4,0,40,3,45,1
2,41,449,5,0,23,4,0,70,3,45,4
1,2,449,5,0,23,4,2,64,3,39,4
1,24,1403,1,0,28,3,1,70,3,41,4
2,2,3,6,0,2,4,2,70,3,37,1
1,21,886,1,0,6,6,2,70,3,29,2
2,41,1399,5,1,23,2,2,52,3,18,2
2,2,372,3,0,23,2,2,70,3,45,2
2,22,1103,2,0,4,5,0,70,3,1,1
0,46,349,0,0,41,4,2,70,3,1,2
2,22,233,2,0,4,5,0,70,3,1,1
2,21,355,4,0,23,1,2,70,3,29,4
0,47,837,1,0,23,4,2,70,3,35,2
2,38,837,2,0,2,4,2,70,3,67,2
2,2,1201,2,0,41,1,4,70,3,4,1
0,22,1008,0,0,34,5,2,52,3,21,2
2,34,1392,6,0,6,6,2,70,3,23,1
2,21,911,4,0,23,2,2,94,3,81,2
2,10,1033,6,0,34,3,0,70,3,16,2
0,40,449,1,0,23,4,0,70,3,13,1
0,22,57,0,0,23,4,1,52,3,16,2
1,21,1083,5,0,2,4,0,40,3,34,2
2,13,1321,7,0,23,4,4,70,3,73,2
0,14,1247,1,0,34,1,0,70,3,16,1
2,2,3,6,0,27,2,2,0,0,44,1
1,21,1007,1,0,23,4,2,70,3,45,2
2,2,1103,3,0,27,3,2,70,3,27,2
2,2,423,6,0,34,2,2,70,3,43,2
1,2,3,7,1,41,2,2,70,3,38,2
2,22,10,3,0,23,4,2,70,3,30,1
2,2,3,7,0,6,4,2,70,3,48,1
1,12,578,1,0,2,4,0,70,3,29,3
1,22,985,5,0,6,4,2,40,3,63,2
2,5,3,7,1,23,6,0,70,3,47,2
1,22,523,6,1,2,4,2,70,3,34,2
0,2,449,1,0,27,6,2,40,3,40,4
1,14,1252,5,0,23,2,0,70,3,40,2
1,22,7,1,0,23,2,2,40,3,39,2
1,22,69,2,0,34,5,2,0,0,77,1
2,2,1103,2,0,6,4,0,70,3,53,2
0,24,1403,1,0,28,1,1,70,3,29,2
2,2,779,2,0,6,3,2,40,3,54,2
1,2,449,6,0,23,6,2,70,3,45,2
2,2,1103,7,0,34,1,2,70,3,49,1
2,2,3,7,1,2,6,2,71,3,50,2
2,53,1044,6,0,23,2,2,70,3,61,2
1,17,1247,5,0,23,4,2,1,1,33,1
0,33,405,1,0,23,4,2,70,3,19,1
2,21,911,2,0,27,4,0,70,3,28,1
1,2,3,1,0,23,6,2,70,3,23,1
1,21,874,1,0,34,5,2,70,3,18,2
0,33,405,0,0,23,3,1,40,3,7,1
2,21,1335,6,0,23,4,0,70,3,39,2
0,22,671,1,0,2,4,2,70,3,28,2
2,22,1116,2,0,34,3,1,40,3,53,2
1,19,372,5,0,27,4,0,70,3,25,2
0,22,1119,1,0,6,3,4,70,3,19,3
2,39,960,2,1,23,4,0,70,3,51,1
1,19,372,5,0,23,2,1,70,3,32,1
2,33,1336,6,0,23,2,2,78,3,47,2
2,2,3,7,0,2,4,0,70,3,39,2
0,33,405,0,0,34,0,1,70,3,4,2
1,21,1410,1,0,23,6,2,71,3,28,2
1,2,980,0,0,6,4,2,70,3,20,2
0,2,449,1,0,23,4,2,40,3,25,1
2,22,166,2,0,27,4,2,71,0,0,1
1,2,1103,5,0,23,2,2,70,3,25,2
0,2,449,1,0,23,4,2,70,3,27,1
2,2,1103,2,0,34,5,2,71,3,28,2
1,2,3,5,0,34,1,0,70,3,27,1
1,2,452,5,0,27,3,1,40,3,28,2
2,47,42,3,0,23,4,0,70,3,64,2
2,53,220,4,0,23,4,2,53,3,61,2
2,2,3,3,0,6,4,0,16,2,33,1
2,53,3,6,0,23,4,2,70,3,50,2
1,22,968,1,0,23,2,2,71,3,46,1
0,22,7,0,0,34,1,0,70,3,10,2
2,34,1385,5,0,23,4,2,29,1,0,1
2,48,1258,4,0,34,1,0,94,3,82,2
2,22,7,2,0,23,4,4,40,3,60,1
1,21,1247,5,0,6,4,2,70,3,13,1
0,24,385,0,1,28,1,2,40,3,19,2
1,22,57,5,0,26,4,4,70,3,39,2
1,2,57,5,0,2,2,0,70,3,36,2
1,2,3,1,0,23,2,2,70,3,26,1
2,12,1356,6,0,23,4,0,70,3,83,2
1,21,886,1,0,6,4,2,70,3,34,4
1,22,651,1,0,6,4,2,40,3,49,3
2,22,817,7,0,2,4,0,70,3,73,2
2,22,393,4,0,23,2,2,70,3,56,2
2,2,3,7,0,23,4,2,70,3,52,1
0,22,1051,1,0,23,3,1,13,1,22,1
0,2,3,1,0,34,5,2,70,3,13,2
1,2,1103,6,0,23,2,2,71,3,39,2
2,42,836,4,1,27,4,2,70,3,53,2
2,53,787,7,0,34,3,0,70,3,50,2
1,22,57,5,0,23,6,2,41,3,26,2
2,15,1371,2,0,23,4,0,70,3,83,1
2,53,1017,3,0,23,4,0,70,3,56,2
2,10,554,3,0,23,6,2,71,3,78,1
0,38,920,1,1,23,4,0,70,3,13,2
1,2,1044,5,0,34,1,0,40,3,39,2
1,31,934,1,0,23,4,0,70,3,34,2
2,22,661,6,0,2,4,0,70,3,61,2
2,47,449,4,0,23,4,0,70,3,85,1
0,2,449,0,0,23,4,2,70,3,29,2
1,19,372,6,0,23,2,1,40,3,45,2
2,2,449,5,0,34,6,0,16,2,55,1
0,2,449,0,0,23,2,2,70,3,16,2
1,40,648,4,0,23,4,2,0,0,4,1
1,22,3,5,0,23,4,2,71,3,20,2
1,22,661,1,1,2,4,0,70,3,39,2
0,2,934,1,0,23,4,2,70,3,36,2
1,34,939,6,0,23,6,0,70,0,16,2
0,22,661,1,0,23,4,0,77,3,21,1
1,40,661,1,0,34,3,2,41,3,18,2
2,47,309,4,0,2,4,2,70,3,52,1
0,34,1392,0,1,23,4,2,40,3,29,1
2,22,60,4,0,41,2,4,70,3,32,1
0,2,1108,1,0,34,1,2,86,3,18,1
0,22,1208,1,0,6,1,2,73,3,7,1
1,2,3,1,0,27,4,0,70,3,19,2
2,22,1154,7,0,34,3,2,99,3,45,2
0,22,1284,0,0,34,2,0,70,3,18,2
2,2,87,7,0,2,4,2,70,3,74,1
0,2,449,0,0,23,4,0,40,3,7,2
2,22,661,4,0,23,4,1,68,3,32,2
1,17,1088,1,0,41,4,2,0,0,84,1
2,2,449,7,0,23,4,0,70,3,43,2
0,40,1345,1,1,23,4,0,70,3,29,2
2,2,449,7,0,6,2,2,40,3,53,2
2,24,531,2,0,28,1,2,70,3,40,1
2,53,311,2,0,41,3,2,70,3,39,2
2,24,1268,3,0,28,2,0,40,3,67,2
